task,intervention,status,falsification
detection,P4B5-STEP3 per-object-size/per-distance recall for R0 vs R2 vs widths; cross-budget re-read of Phase3C by object size,OPEN,"If encoder gain is uniform across all size buckets, the advantage is generic capacity rather than a spatial/channel-spec"
detection,"P4B5-STEP3 per-scale recall: R0 (multi-scale input) vs R2 (single 1/8 input), bucketed by GT box area",OPEN,"If R0 and R2 have the same shape of recall-vs-size curve, resolution is not what separates them"
detection,"P4B5-STEP3 crowding/occlusion analysis: recall vs number of GT boxes per image, and vs max IoU overlap with another GT box",OPEN,"If recall is flat against crowding after controlling for size, context is not the binding constraint"
detection,"P4B5-STEP4 parameter-matched reconstruction ladder at fixed z (rec complexity / det_ch), keeping total head params within 5%",OPEN,"If detection is invariant to reconstruction complexity at fixed z and fixed head params, H-04 is REJECTED"
lane,"Lane-1/4-UP: bilinear upsample Z to 1/4, run the SAME lane head at 1/4 (no new information, identical parameters)",OPEN,"If upsampling alone gives no gain, the ceiling is about INFORMATION at 1/4, not about head operating resolution"
lane,"Lane-1/4-FEAT: add a 1x1 lateral from s1 (1/4) into the lane input, then run the lane head at 1/4 (+32*zc params, ~+0.5k",OPEN,"If real 1/4 features do not beat the 1/8 ceiling, lane is NOT spatially bounded and H-05 must be REJECTED in favour of H-06/"
lane,Only run 1/2 if 1/4 shows a large gain,CONDITIONAL,"If 1/2 is clearly better, continue the ladder; if within noise, 1/4 is the threshold"
lane,Control arm inside the lane resolution experiment: compare channel increase vs resolution increase at matched incrementa,OPEN,"If a channel increase buys as much as the resolution increase, H-06 is not subordinate to H-05"
lane,"Loss-side statistics only (no loss redesign): positive pixel ratio, share of lane loss coming from boundary pixels vs in",OPEN,"If recall is high and precision is low, the defect is localisation, not supervision - H-07 is REJECTED as dominant"
lane,Multi-tolerance ceiling ladder and a lane-width stratified analysis (thin vs wide lane instances),REJECTED as stated,Not falsifiable in the usual sense - it is a measurement constraint that bounds every other lane claim
DA,"No new intervention - already saturated under channel, encoder, shared-Z and gradient interventions",REJECTED (as dominant),Already falsified: four independent capacity interventions moved DA by less than 1x noise
DA,Per-band 1/8 ceiling vs per-band achieved IoU (P4B5-STEP2),REJECTED,Achieved IoU stays ~0.11 below its own per-band ceiling at every band -> resolution is not what keeps DA down
DA,"P4B5-STEP2: per-band 1/8 ceiling, per-band mixed-block fraction (blocks containing both fg and bg at 1/8), per-band GT area, ",REJECTED as dominant,"If the far-field gap to its own ceiling equals the mid/near gap, the far-field deficit is geometry/annotation, not seman"
DA,"P4B5-STEP2: per-band mixed-block fraction, per-band GT area share, per-band boundary fraction; and the same banding applied t",SUPPORTED,"If R0 and R2 collapse identically in the far field, the cause is the data, not the architecture"
DA,"P4B5-STEP2 loss-side statistics: per-band pixel share, per-band loss contribution share, foreground/background ratio, per-pix",OPEN,"If per-band loss share is proportional to per-band error, H-12 is REJECTED"
all,"Already intervened causally (lambda_det = 0.2 at 20ep, two widths)",REJECTED,Falsified by direct intervention with a manipulation check that passed (weighted det share fell from ~0.75 to 0.33/0.47)
all,"Deferred: compare shared vs task-private Z at matched parameters (architecture stage, not Phase 5)",PARTIALLY SUPPORTED,"If a private-Z variant at matched params is not better, sharing is not the binding constraint"
all,The whole of Phase 5 - this is the meta-hypothesis,OPEN,"If any single intervention improves detection, DA and lane together by >= 2x noise, H-15 is REJECTED"
lane,Only decide after 1/4 and (conditionally) 1/2 are measured,OPEN,"If gains are gradual across 1/8 -> 1/4 -> 1/2, the bottleneck is capacity-like, not a threshold"
lane,Decompose the probe result into precision and recall instead of reading fg IoU alone. A 1/4 head should move precision. ,OPEN,"recall rises in proportion to precision, i.e. the missing segments were simply too thin to survive at 1/8 and reappear o"
DA,"Anatomy of the false positives (P4B-EXP-04): connected-component size distribution, distance from each FP component to the nea",OPEN,"FP is dominated by components within a few px of GT, or by a thin rim, which would put the error back on boundary locali"
﻿detection,"danc_z16: IoU-k-means anchors replacing the project default (0 params, 0 FLOPs), 4ep seed 0","DONE: D1 PASS +0.1543 mAP50 = 10.57x noise; D2 formally confirmed / substantively weak (72.1% of weighted AP gain on medium, 14.4% small); D4 and D5 PASS","If mAP50 gain < 1x noise. It was 10.57x, so not falsified - but the mechanism predicted (small-object assignment coverage) is NOT the dominant channel"
detection,"dp2a_z16: stride-4 level from upsampled Z (p2=up, +594 params) plus k-means 12 anchors, 4ep seed 0","DONE: D3 FAIL - mAP50 0.3507 vs danc 0.3954 = -0.0447 (-3.06x noise, threshold +0.0146); still +0.1096 vs baseline so the anchor fix dominates. CONFOUNDED: P2 fed by bilinearly upsampled z=16 Z varies grid density and stride-4 feature quality together -> H-20 REJECTED, separator registered as H-21/dp2b (p2=f1 lateral from encoder f1).","If dp2a - danc < 1x noise (+0.0146), the 29.8% sub-cell statistic is not the binding constraint and grid resolution does not bind for detection at this scale"
detection,"danc_z16 at 20 epochs (confirmation), registered in PHASE5_DET_E20_CONFIRM_REGISTRATION.md","REGISTERED, NOT RUN","If danc_20 < 0.3835 (baseline_20 0.3543 + 2x noise), the 4ep result was a convergence-speed artefact and H-19 is rejected at full budget"
detection,"dp2b_z16: stride-4 level from a 1x1 lateral off encoder f1 (p2=f1, +1618 params), k-means 12 anchors, 4ep seed 0","PROPOSED, NOT RUN","Separates the H-20 confound: real stride-4 semantics versus grid density alone. If dp2b - danc < 1x noise or is negative, neither grid density nor a genuine stride-4 lateral helps and the detection line closes on the supervision side. Blocked until the 20ep confirmation is read; needs its own literature check first."
