hypothesis,statement,experiment,expected_evidence,status,decision
H-01,R0 shows no detection->Z effect mainly because detection bypasses Z,R0 vs R2 paired,detection z-sensitivity rises from ~0 (R0) to >noise (R2),supported,"Measured, not inferred: ||dL_det/dZ|| is exactly 0 in R0 at all three widths and >0 in R2. The R0 null was the bypass."
H-02,"Once detection is forced through Z, mAP becomes clearly Z-sensitive",R2 z16/z32/z128,monotone or clearly separated mAP50 across z,supported-partial,"Detection Z-sensitivity rises to 2.34x noise (mAP50) and 2.56x (mAP50_95), but it is not monotone: z16->z32 is 0.14x noise, only z16->z128 clears the floor."
H-03,z=16 is already sufficient for DA,R2 z sweep,DA spread across z stays inside the noise floor,supported,"DA spread is inside the noise floor in BOTH R0 (<=0.30x) and R2 (<=0.61x). Saturation is real, not a bypass artefact."
H-04,"Lane's Z demand is real, not R0-specific training noise",R2 z sweep,"lane_fg rises with z again, reproducing the Phase 3B trend",supported,lane_fg z16->z128 is 2.25x noise under R2 versus 1.00x under R0. The lane Z demand reproduces and strengthens under a shared bottleneck.
H-05,Encoder-heavy still beats Z-heavy under a genuine shared bottleneck,R2 budget probe,wider encoder + narrow Z beats narrow encoder + wide Z,not-tested,"Phase 3C settled this under R0 only. No encoder sweep was run under R2, so the allocation law is not yet known to transfer."
H-06,Compressing encoder features into Z causes irreversible information loss,R2 vs R0 at equal z,R2 detection below R0 detection at every z,not-supported-as-stated,"No dead channels at any width, and detection IMPROVES through Z, so compression to z>=16 is not measurably lossy here. What is lost is effective dimensionality, not task performance."
H-07,R2 performance depends as much on reconstruction design as on Z width,reconstruction A/B,two reconstructions differ at fixed z=16,open,"Only one reconstruction (DetFromZ, det_ch=32) was trained. Its contribution cannot be separated from Z width without a second design."
H-08,A single Z can serve all three tasks,R2 z128 vs R0,R2 approaches R0 on all three tasks at wide z,partially-supported,"A single Z does serve all three tasks, but not optimally: detection and lane want z128, DA is indifferent at z16. It works, it is not ideal."
H-09,"Tasks need different granularity, so one uniform Z is suboptimal",split-Z / adapter probe,task-specific projection beats direct heads at fixed z,supported,"Task-specific demand is measurable: detection 2.34x, lane 2.25x, DA 0.21x noise over the same z16->z128 range."
H-10,Task gradients conflict at Z and shape how it is used,gradient diagnostic,negative cosine between task gradients w.r.t. Z,not-supported,"Cosines are ~0 (det-da -0.002..+0.001, det-lane ~0.000, da-lane +0.033..+0.060). Tasks are near-orthogonal, not in conflict, so conflict does not explain Z insensitivity."
H-06b,Extra Z capacity is allocated but not used,effective-rank diagnostic,effective rank of z128 close to that of z16,supported-with-caveat,"Utilisation falls from 42.5% of channels at z16 to 24.9% at z128 (effective rank 6.79 -> 31.93 of 16 -> 128), so most added channels are redundant. Caveat: none are dead and the redundant ones still buy real gains (detection 2.34x, lane 2.25x noise), so it is low-utilisation, not pure waste."
H-07b,Bottleneck placement matters more than width,bottleneck placement probe,moving compression point changes results at fixed z,not-tested,"Only one bottleneck placement was trained (Z at 1/8 resolution, compression before all three heads). Width was swept, placement was not, so the two cannot be compared yet."
