id,alias,direction,bottleneck_addressed,core_mechanism,literature_collision,evidence_base,cost_estimate,novelty_verdict_prior,status,next_action
H-22,H-A,Shared lightweight encoder + high-resolution lane bypass,Lane spatial addressability (1/8 hard ceiling 0.1853),lane head gets a 1/4 lateral from encoder s1,YOLOPv2 lane decoder uses deconv high-res path; l14f1 already implemented in-repo,l14f1 3-seed lane_fg +1.85x noise WEAK SUPPORT,~+0.5-0.6 GFLOPs (measured 1.6391G vs 1.0796G baseline),known mechanism / new evidence only (gain per FLOP is the reportable quantity),KEEP-AS-CONTROL,this is the L2 baseline arm of EXP-01; not a paper claim by itself
H-23,H-B,Shared low-res semantic rep + selective high-res lane path,Lane spatial vs semantic split,lane reads 1/4 only where needed; shared Z stays low-res for det/DA,YOLOPv2 assigns different semantic LEVELS per task (DA pre-FPN shallow lane post-FPN deep) but never at matched budget nor from measured bottlenecks,3A saturation profile + 4B lane probes + H-05 evidence,~+0.3-0.6 GFLOPs depending on selectivity,combination known / selection criterion new (budget-parity + bottleneck-profile-derived),CANDIDATE,EXP-06 cost model then EXP-01 pair
H-24,H-C,Detection-specific supervision-aware branch + shared compact seg,Det assignment/supervision (H-19 CONFIRMED),k-means anchor + assignment optimization at zero inference cost,k-means anchors are YOLO-standard (YOLOv3+ YOLOPv2 also uses them); ATSS/SimOTA/OTA are dynamic-assignment line,P4B-EXP-03: danc 20ep 2-seed +9.7-9.9x noise CONFIRMED at zero params/FLOPs,zero inference cost,mechanism known / capacity-supervision coupling hypothesis NEW (H-34),CANDIDATE,EXP-03 analysis + EXP-04 cross-architecture probe
H-25,H-D,Multi-resolution representation instead of uniform shared Z,Lane needs spatial info det/DA do not,Z_low (semantic) + Z_high (spatial) dual path instead of single Z,Multi-scale fusion is ubiquitous (FPN/PAN/HRNet); task-conditional dual-Z at fixed budget not found in YOLOP-family,3B/3C: wider shared Z does not help lane (z128 lane_fg only +2.25x noise),~+0.5-1.0 GFLOPs,Known family / task-conditional variant untested at budget parity,CANDIDATE-2,defer to round 2; cost risk higher than H-23
H-26,H-E,Task-dependent spatial routing,per-task spatial needs,routing layers send spatial features only to lane,task routing exists (AdaShare ETR TaskPrompter); none is resolution-motivated from measured ceilings,weak direct evidence; l14up 2.02x shows resolution alone moves lane,router params + compute,high collision + weak evidence,DEPRIORITIZE,round 2 only if H-23/H-24 fail
H-27,H-F,Dynamic resolution allocation (per-image),not every image needs 1/4 lane compute,lane triggers 1/4 refinement only on complex scenes,DRNet NeurIPS21 per-image input resolution (classification); spatial sampling ECCV20; FoveatedSeg CVPR25; none task-conditional in MTL driving at fixed budget,unknown - needs offline oracle study first,oracle = 0; dynamic net = high,mechanism known for classification / task-conditional driving variant open,GATED,EXP-oracle FIRST (no training): if most val images need 1/4 do not proceed
H-28,H-G,Shared semantic trunk + task-specific geometric branch,Lane geometry vs DA semantics,geometric branch for lane only,TwinLiteNet/HybridNets share seg trunk; GDMNet task decoders,modest,little headroom over l14f1,mostly known,DEPRIORITIZE,
H-29,H-H,Low-res shared rep + sparse high-res refinement,Lane spatial + compute budget,refine only lane-likely regions at 1/4,sparse/foveated inference known (FoveatedSeg dynamic sampling); lane-region-conditioned refinement in MTL not found,H-17 lane = quantisation+continuity stacked bottlenecks; lane positives 0.51% of pixels -> sparsity is extreme,~+0.1-0.3 GFLOPs,mechanism known / driving-MTL combination possibly new,CANDIDATE-2,needs H-23 first (dense 1/4 must work before sparse 1/4)
H-30,H-I,Task-dependent information extraction not channel width,task-specific info needs,what to READ (which features) vs how wide,H-30 is the design principle behind l14f1 (read s1) vs lch64 (read wider) - tested,H-05 probe: f1 lateral +2.36x vs lch64 +0.20x at 4ep,zero-to-small,empirically grounded principle; needs the FLOPs-parity formalization (EXP-01),CANDIDATE,EXP-01 quantifies it
H-31,H-J,Different feature sources per task sharing early computation,per-task source assignment,enc s1->lane enc f2-f4->det Z->DA,YOLOPv2/HybridNets assign sources heuristically,4B/5 source evidence complete,family known / measurement-driven assignment new,KEEP-AS-PRINCIPLE,drive the final architecture doc; not a standalone experiment,
