id,hypothesis,task,category,evidence_available,intervention,prediction_if_true,falsification_criterion,cost,status,decision
H1,Detection is encoder/channel limited,detection,channel capacity,"Phase3A: E-small/E-base/E-large monotone on 6/6 metrics, detection most sensitive. Phase3C fixed-budget: encoder-heavy > balanced > Z-heavy (Budget-L mAP50 0.3204/0.3152/0.2639; Budget-M 0.3585/0.3462/0.3161) at LOWER FLOPs for encoder-heavy.",STEP3 per-object-size/per-distance recall for R0 vs R2 vs widths; cross-budget re-read of Phase3C by object size,"The encoder advantage is concentrated on small and far objects, not uniform across sizes","If encoder gain is uniform across all size buckets, the advantage is generic capacity rather than a spatial/channel-specific bottleneck",zero-training,OPEN,Do not retrain; decompose Phase3C checkpoints by object size
H2,Detection is spatial-resolution limited,detection,spatial resolution,"R0 det reads F2/F3/F4 at 1/8,1/16,1/32; R2 forces det through a single 1/8 Z and detection IMPROVES (+0.0339 mAP50 at z16). YOLOF: SiMo(35.0) vs MiMo(35.9), only -0.9 mAP.","STEP3 per-scale recall: R0 (multi-scale input) vs R2 (single 1/8 input), bucketed by GT box area",R2 loses recall on small objects relative to R0 while matching or beating R0 on large objects,"If R0 and R2 have the same shape of recall-vs-size curve, resolution is not what separates them",zero-training,OPEN,"Test; if R2 small-object recall is not worse, resolution is secondary for detection"
H3,Detection is receptive-field/context limited,detection,receptive field,"Probe B: dilation (2,4) reconstruction was WORSE than equal-parameter plain depth by 3.64x noise at 4ep; the plain-depth gain vanished at 20ep (-0.10x). Encoder already reaches 1/32.","STEP3 crowding/occlusion analysis: recall vs number of GT boxes per image, and vs max IoU overlap with another GT box","Recall degrades steeply with crowding/occlusion, and this degradation is not explained by object size alone","If recall is flat against crowding after controlling for size, context is not the binding constraint",zero-training,OPEN,Cheap test; do not repeat dilation (explicitly forbidden as a repeat)
H4,"Detection is bottlenecked by the R2 reconstruction pathway (Z -> 3 scales), not by Z width",detection,representation compression,"R0->R2 gap is +0.0339 mAP50 ALREADY at z16 (narrowest Z), so most of the change is not Z width. R2 also grows the det head 8406 -> 20918 params.","STEP4 parameter-matched reconstruction ladder at fixed z (rec complexity / det_ch), keeping total head params within 5%","Detection moves monotonically with reconstruction capacity at fixed z, and the R2-R0 gap is mostly attributable to reconstruction+head, not Z width","If detection is invariant to reconstruction complexity at fixed z and fixed head params, H4 is REJECTED",20ep x 2-3 cells,OPEN,Most informative single detection experiment; run only after STEP0-3 narrow the field
H5a,Lane is limited by the OUTPUT RESOLUTION at which its head operates (head runs on 1/8 features),lane,spatial resolution,Model-free 1/8 ceiling (maxpool-by-8 then upsample) = 0.1853; trained models achieve lane fg IoU 0.1843/0.1882/0.1845 - statistically indistinguishable. GT erode1 survival 0.0107 (1-2 px wide). Pred/GT area = 3.37x. Recall 0.689 with precision ~0.20. Boundary tolerance 0/1/2 px -> IoU 0.184/0.382/0.460.,"Lane-1/4-UP: bilinear upsample Z to 1/4, run the SAME lane head at 1/4 (no new information, identical parameters)",Lane fg IoU improves by >= 2x noise (0.0064) purely from operating resolution,"If upsampling alone gives no gain, the ceiling is about INFORMATION at 1/4, not about head operating resolution",20ep x 1 cell,OPEN,"This is the control that separates H5a from H5b - it must be run, not assumed"
H5b,"Lane is limited by the ABSENCE of 1/4 INFORMATION (Z is fused only from F2/F3/F4, all >= 1/8)",lane,spatial resolution,"Encoder s1 emits a 1/4 feature map (160x160, 32 ch) but LightEncoder.forward does not return it; Z is built exclusively from 1/8 and deeper.","Lane-1/4-FEAT: add a 1x1 lateral from s1 (1/4) into the lane input, then run the lane head at 1/4 (+32*zc params, ~+0.5k at z16)",Lane fg IoU improves by >= 2x noise and BREAKS the 0.1853 ceiling that no channel change has moved,"If real 1/4 features do not beat the 1/8 ceiling, lane is NOT spatially bounded and H5 must be REJECTED in favour of H6/H7/H8",20ep x 1 cell,OPEN,PRIMARY lane experiment
H5c,There is a MINIMUM SUFFICIENT resolution: 1/4 is enough and 1/2 buys nothing extra,lane,spatial resolution,"Section 8 of the Phase 5 brief: find the threshold, not the maximum.",Only run 1/2 if 1/4 shows a large gain,Lane-1/2 is within 1x noise of Lane-1/4,"If 1/2 is clearly better, continue the ladder; if within noise, 1/4 is the threshold",20ep x 1 cell (conditional),CONDITIONAL,Do not run unless 1/4 shows a large effect; no full sweep
H6,Lane is channel-capacity limited,lane,channel capacity,z16/z32/z128 lane_fg = 0.1943/0.1992/0.2015 (z16->z128 = +0.0072 = 2.25x noise). Effective rank at z128 is 24.9% (31.93/128) - most channels redundant. Task projection 16->32 gave +0.0037 lane_fg at 20ep = 1.16x noise.,Control arm inside the lane resolution experiment: compare channel increase vs resolution increase at matched incremental FLOPs,Resolution gain per unit resource >> channel gain per unit resource,"If a channel increase buys as much as the resolution increase, H6 is not subordinate to H5",included in H5 cells,OPEN,"Reported as delta-metric / delta-resource, not as absolute score"
H7,Lane is supervision/loss limited,lane,supervision,"Lane positives are ~2089 px per 640x640 image = 0.51% of pixels. Model recall is already 0.689, i.e. it FINDS lanes and cannot place them.","Loss-side statistics only (no loss redesign): positive pixel ratio, share of lane loss coming from boundary pixels vs interior",A large majority of lane loss comes from a thin boundary band,"If recall is high and precision is low, the defect is localisation, not supervision - H7 is REJECTED as dominant",zero-training,OPEN,Statistics first; a loss intervention is only justified if the imbalance is extreme AND H5 fails
H8,Lane is annotation/evaluation limited (the metric itself has a low ceiling),lane,evaluation ceiling,"Lane stroke 3.98 px train / 3.97 px val at 1280x720 (ratio 0.997) = 1.99 px at model input. Perfectly localised predictor of the correct width scores 0.973/0.972. Erosion survival k=1 0.069/0.065, k=2 0.0005. 71% of lane foreground is within 1 native px of the boundary and 99.9% within 2. Foreground spans 11 (train) / 14 (val) label values, four carrying 16-26% each, but EVERY class measures 3.3-4.1 px - geometrically homogeneous, semantically not.",Multi-tolerance ceiling ladder and a lane-width stratified analysis (thin vs wide lane instances),"The ceiling itself rises steeply with tolerance, confirming absolute lane IoU is metric-dominated",Not falsifiable in the usual sense - it is a measurement constraint that bounds every other lane claim,zero-training,REJECTED as stated,"REJECTED. The two splits agree to 0.3% and a correctly sized, perfectly located stroke scores 0.97, so the annotation is not the ceiling and the metric is not intrinsically unfair. The 1/8 grid is the ceiling. Retained only as a reporting rule: every lane number must be quoted with the 2 px-at-input stroke next to it, because readers will otherwise compare against datasets whose protocol widens lanes to 30 px before matching (CULane)."
